Species,Common.name,Binomial.1.2
Mus domesticus,Wild house mouse,Mus musculus
Cleithrionomys rutilus,Bank vole,Myodes rutilus
Perognathus formosus,Long-tailed pocket mouse,Chaetodipus formosus
Eremitalpa namibensis,Namib Desert golden mole,Eremitalpa granti
Gerbillus allenbyi,Allenby's gerbil,Gerbillus andersoni
Cleithrionomys glareolus,Bank vole,Myodes glareolus
Praomys natalensis,Multi-mammate mouse,Mastomys natalensis
Arvicola terrestris,Water vole,Arvicola amphibius
Spermophilus saturatus,Golden-mantled ground sqrl.,Callospermophilus saturatus
Spermophilus parryi,Arctic ground squirrel,Urocitellus parryii
Aepyrpimnus rufescens,Rufous rat kangaroo,Aepyprymnus rufescens
Tachyglosssus aculeatus,Echidna,Tachyglossus aculeatus
Thylogale billiardieri,Red-bellied wallaby,Thylogale billardierii
Aloutta palliata,Mantled howler monkey,Alouatta palliata
Proteles cristatus,Aardwolf,Proteles cristata
Lyacon pictus,African wild dog,Lycaon pictus
